Customer_Id,Gender,Device_Type,Customer_Login_type
10000,Male,Web,Member
10002,Male,Web,Member
10004,Male,Web,Guest
10006,Male,Web,Member
10013,Male,Web,Member
10015,Female,Web,Member
10019,Female,Web,Member
10023,Female,Web,Member
10024,Male,Web,Member
10026,Female,Web,Member
10027,Male,Web,Member
10038,Male,Web,Member
10043,Female,Web,Member
10044,Female,Web,Member
10045,Male,Web,Member
10054,Female,Web,Member
10056,Female,Web,Member
10059,Male,Web,Guest
10060,Male,Web,Member
10062,Female,Web,Guest
10063,Male,Web,Member
10065,Male,Web,Member
10070,Male,Web,Member
10073,Male,Web,Member
10077,Male,Web,Member
10081,Female,Web,Member
10087,Female,Web,Member
10088,Male,Web,Member
10089,Male,Web,Member
10092,Male,Web,Member
10095,Male,Web,Member
10096,Female,Web,Guest
10098,Male,Web,Member
10099,Female,Web,Member
10100,Male,Web,Member
10101,Female,Web,Member
10103,Female,Web,Guest
10106,Male,Web,Member
10107,Female,Web,Member
10110,Male,Web,Member
10114,Female,Web,Member
10115,Female,Web,Member
10118,Male,Web,Member
10119,Male,Web,Member
10123,Male,Web,Member
10124,Female,Web,Member
10126,Female,Web,Member
10128,Male,Web,Member
10129,Male,Web,Member
10130,Female,Web,Member
10135,Male,Mobile,Member
10136,Male,Web,Member
10140,Male,Web,Member
10141,Male,Web,Member
10144,Male,Web,Member
10149,Male,Web,Member
10151,Male,Web,Member
10157,Male,Web,Guest
10158,Female,Web,Member
10159,Male,Web,Member
10166,Female,Web,Member
10168,Male,Web,Member
10170,Male,Web,Member
10172,Male,Mobile,Member
10173,Male,Web,Member
10174,Male,Web,Member
10175,Female,Web,Member
10176,Male,Web,Member
10179,Male,Web,Member
10180,Male,Web,Member
10181,Female,Web,Member
10182,Male,Web,Member
10183,Female,Web,Member
10185,Male,Web,Member
10190,Female,Web,Member
10192,Female,Web,Member
10200,Female,Web,Member
10201,Male,Web,Guest
10207,Female,Web,Member
10211,Male,Mobile,Member
10213,Female,Web,Member
10214,Female,Web,Member
10218,Male,Web,Member
10224,Male,Web,Member
10226,Female,Web,Member
10227,Male,Web,Member
10228,Female,Web,Member
10229,Female,Web,Member
10231,Female,Web,Member
10235,Male,Web,Member
10237,Male,Web,Member
10244,Male,Web,Member
10246,Male,Web,Member
10254,Male,Web,Member
10257,Male,Web,Member
10260,Male,Web,Member
10261,Male,Web,Member
10263,Female,Web,Member
10265,Male,Web,Member
10266,Male,Web,Member
10269,Female,Web,Member
10270,Male,Web,Member
10271,Female,Web,Member
10272,Male,Web,Member
10275,Female,Web,Member
10276,Male,Web,Member
10277,Female,Web,Member
10280,Male,Web,Member
10284,Female,Web,Member
10285,Female,Web,Member
10286,Male,Web,Member
10291,Male,Web,Member
10293,Female,Web,Member
10294,Male,Web,Member
10298,Male,Web,Member
10299,Male,Web,Member
10301,Male,Web,Member
10302,Male,Web,Member
10305,Male,Web,Member
10308,Female,Web,Member
10309,Female,Web,Member
10310,Male,Web,Member
10318,Male,Web,Member
10328,Male,Web,Member
10329,Male,Web,Member
10330,Female,Web,Member
10334,Male,Web,Member
10336,Male,Web,Member
10337,Female,Web,Member
10338,Male,Web,Member
10343,Male,Web,Member
10345,Male,Web,Member
10346,Male,Web,Member
10351,Female,Web,Member
10352,Female,Web,Member
10355,Male,Web,Member
10359,Female,Web,Member
10360,Male,Web,Member
10361,Male,Web,Guest
10364,Male,Web,Member
10365,Male,Web,Member
10367,Male,Web,Member
10370,Male,Web,Member
10371,Male,Web,Member
10373,Male,Web,Member
10375,Male,Web,Member
10376,Male,Web,Member
10382,Male,Web,Member
10384,Male,Web,Member
10385,Female,Web,Member
10386,Male,Web,Member
10387,Male,Web,Member
10389,Male,Web,Member
10395,Male,Web,Member
10396,Male,Mobile,Member
10399,Male,Web,Member
10400,Female,Web,Member
10401,Female,Web,Member
10403,Male,Web,Member
10404,Male,Web,Member
10406,Male,Web,Member
10407,Female,Web,Member
10408,Male,Web,Member
10411,Male,Web,Member
10412,Male,Web,Member
10414,Male,Web,Member
10415,Male,Web,Member
10417,Female,Web,Member
10420,Female,Web,First SignUp
10421,Male,Web,Member
10422,Female,Web,Guest
10425,Female,Web,Member
10426,Male,Web,Member
10429,Male,Web,Member
10434,Male,Web,Member
10436,Male,Web,Member
10437,Female,Web,Member
10440,Male,Web,Member
10441,Male,Web,Member
10448,Male,Web,Member
10453,Female,Web,Member
10454,Male,Web,Member
10456,Male,Web,Member
